,emotion_str,country,tweet,date,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm
0,anger,Australia,72,June,Australia,AUS,36,Australia,5.0,Statista,22578.0,14.4
1,anger,Brazil,3,June,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.20905923344947736
2,anger,Canada,111,June,Canada,CAN,124,Canada,8.15,Statista,38382.0,13.61963190184049
3,anger,China,6,June,China,CHN,156,China,2.0,NY Times,7482.0,3.0
4,anger,Germany,9,June,Germany,DEU,276,Germany,6.1,Statista,4140.0,1.4754098360655739
5,anger,Ghana,39,June,Ghana,GHA,288,Ghana,2.0,,6312.0,19.5
6,anger,India,180,June,India,IND,356,India,13.15,Statista,90480.0,13.688212927756654
7,anger,Indonesia,12,June,Indonesia,IDN,360,Indonesia,11.8,,3954.0,1.0169491525423728
8,anger,Ireland,27,June,Ireland,IRL,372,Ireland,2.5,,12138.0,10.8
9,anger,Italy,6,June,Italy,ITA,380,Italy,2.5,,3822.0,2.4
10,anger,Japan,21,June,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.4334365325077399
11,anger,Kenya,15,June,Kenya,KEN,404,Kenya,8.2,google,9228.0,1.829268292682927
12,anger,Kingdom of Saudi Arabia,3,June,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.2
13,anger,Malaysia,9,June,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,2.307692307692308
14,anger,Mexico,6,June,Mexico,MEX,484,Mexico,25.7,,1746.0,0.23346303501945526
15,anger,New Zealand,18,June,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,20.0
16,anger,Nigeria,87,June,Nigeria,NGA,566,Nigeria,8.4,,38400.0,10.357142857142856
17,anger,Pakistan,30,June,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,11.538461538461538
18,anger,Republic of the Philippines,30,June,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,4.195804195804196
19,anger,South Africa,87,June,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,10.235294117647058
20,anger,Spain,9,June,Spain,ESP,724,Spain,8.4,Statista,4080.0,1.0714285714285714
21,anger,Thailand,3,June,Thailand,THA,764,Thailand,7.35,Statista,2736.0,0.40816326530612246
