,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date
0,anger,Australia,186,Australia,AUS,36,Australia,5.0,Statista,22578.0,37.2,March
1,anger,Belgium,24,Belgium,BEL,56,Belgium,1.0,,2268.0,24.0,March
2,anger,Brazil,12,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.8362369337979094,March
3,anger,Canada,336,Canada,CAN,124,Canada,8.15,Statista,38382.0,41.22699386503067,March
4,anger,China,24,China,CHN,156,China,2.0,NY Times,7482.0,12.0,March
5,anger,France,24,France,FRA,250,France,8.9,Statista,3192.0,2.696629213483146,March
6,anger,Germany,30,Germany,DEU,276,Germany,6.1,Statista,4140.0,4.918032786885246,March
7,anger,Ghana,126,Ghana,GHA,288,Ghana,2.0,,6312.0,63.0,March
8,anger,Hong Kong,12,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,8.0,March
9,anger,India,408,India,IND,356,India,13.15,Statista,90480.0,31.026615969581748,March
10,anger,Indonesia,66,Indonesia,IDN,360,Indonesia,11.8,,3954.0,5.59322033898305,March
11,anger,Ireland,108,Ireland,IRL,372,Ireland,2.5,,12138.0,43.2,March
12,anger,Italy,18,Italy,ITA,380,Italy,2.5,,3822.0,7.2,March
13,anger,Japan,30,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.6191950464396284,March
14,anger,Kenya,78,Kenya,KEN,404,Kenya,8.2,google,9228.0,9.51219512195122,March
15,anger,Kingdom of Saudi Arabia,6,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.4,March
16,anger,Malaysia,90,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,23.076923076923077,March
17,anger,Mexico,18,Mexico,MEX,484,Mexico,25.7,,1746.0,0.7003891050583658,March
18,anger,New Zealand,18,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,20.0,March
19,anger,Nigeria,234,Nigeria,NGA,566,Nigeria,8.4,,38400.0,27.857142857142858,March
20,anger,Pakistan,54,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,20.76923076923077,March
21,anger,Republic of Korea,18,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,2.9752066115702482,March
22,anger,Republic of the Philippines,168,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,23.496503496503497,March
23,anger,Singapore,18,Singapore,SGP,702,Singapore,1.3,,3246.0,13.846153846153845,March
24,anger,South Africa,234,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,27.529411764705884,March
25,anger,Spain,30,Spain,ESP,724,Spain,8.4,Statista,4080.0,3.571428571428571,March
26,anger,Sri Lanka,18,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,36.0,March
27,anger,Switzerland,24,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,30.0,March
28,anger,Thailand,12,Thailand,THA,764,Thailand,7.35,Statista,2736.0,1.6326530612244898,March
29,anger,The Netherlands,42,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,15.000000000000002,March
30,anger,Turkey,18,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,1.3186813186813187,March
31,anger,Uganda,24,Uganda,UGA,800,,,,,,March
32,anger,United Arab Emirates,30,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,5.758157389635317,March
33,anger,United Kingdom,690,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,38.87323943661972,March
34,anger,United States,4320,United States,USA,840,United States,64.2,Statista,454626.0,67.28971962616822,March
35,boredom,Australia,66,Australia,AUS,36,Australia,5.0,Statista,22578.0,13.2,March
36,boredom,Brazil,6,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.4181184668989547,March
37,boredom,Canada,126,Canada,CAN,124,Canada,8.15,Statista,38382.0,15.460122699386503,March
38,boredom,China,18,China,CHN,156,China,2.0,NY Times,7482.0,9.0,March
39,boredom,France,24,France,FRA,250,France,8.9,Statista,3192.0,2.696629213483146,March
40,boredom,Germany,24,Germany,DEU,276,Germany,6.1,Statista,4140.0,3.934426229508197,March
41,boredom,Ghana,36,Ghana,GHA,288,Ghana,2.0,,6312.0,18.0,March
42,boredom,Hong Kong,6,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,4.0,March
43,boredom,India,162,India,IND,356,India,13.15,Statista,90480.0,12.319391634980988,March
44,boredom,Indonesia,36,Indonesia,IDN,360,Indonesia,11.8,,3954.0,3.0508474576271185,March
45,boredom,Ireland,42,Ireland,IRL,372,Ireland,2.5,,12138.0,16.8,March
46,boredom,Japan,18,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.37151702786377705,March
47,boredom,Kenya,30,Kenya,KEN,404,Kenya,8.2,google,9228.0,3.658536585365854,March
48,boredom,Kingdom of Saudi Arabia,6,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.4,March
49,boredom,Malaysia,54,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,13.846153846153847,March
50,boredom,New Zealand,18,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,20.0,March
51,boredom,Nigeria,144,Nigeria,NGA,566,Nigeria,8.4,,38400.0,17.142857142857142,March
52,boredom,Pakistan,54,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,20.76923076923077,March
53,boredom,Republic of Korea,6,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,0.9917355371900827,March
54,boredom,Republic of the Philippines,36,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,5.034965034965035,March
55,boredom,South Africa,138,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,16.235294117647058,March
