,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date
0,anger,Australia,66,Australia,AUS,36,Australia,5.0,Statista,22578.0,13.2,May
1,anger,Belgium,6,Belgium,BEL,56,Belgium,1.0,,2268.0,6.0,May
2,anger,Brazil,18,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,1.2543554006968642,May
3,anger,Canada,168,Canada,CAN,124,Canada,8.15,Statista,38382.0,20.613496932515336,May
4,anger,France,12,France,FRA,250,France,8.9,Statista,3192.0,1.348314606741573,May
5,anger,Germany,6,Germany,DEU,276,Germany,6.1,Statista,4140.0,0.9836065573770493,May
6,anger,Ghana,54,Ghana,GHA,288,Ghana,2.0,,6312.0,27.0,May
7,anger,India,372,India,IND,356,India,13.15,Statista,90480.0,28.288973384030417,May
8,anger,Indonesia,12,Indonesia,IDN,360,Indonesia,11.8,,3954.0,1.0169491525423728,May
9,anger,Ireland,84,Ireland,IRL,372,Ireland,2.5,,12138.0,33.6,May
10,anger,Italy,18,Italy,ITA,380,Italy,2.5,,3822.0,7.2,May
11,anger,Japan,18,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.37151702786377705,May
12,anger,Kenya,6,Kenya,KEN,404,Kenya,8.2,google,9228.0,0.7317073170731708,May
13,anger,Kingdom of Saudi Arabia,12,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.8,May
14,anger,Malaysia,30,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,7.6923076923076925,May
15,anger,Mexico,12,Mexico,MEX,484,Mexico,25.7,,1746.0,0.4669260700389105,May
16,anger,New Zealand,6,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,6.666666666666666,May
17,anger,Nigeria,174,Nigeria,NGA,566,Nigeria,8.4,,38400.0,20.71428571428571,May
18,anger,Pakistan,12,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,4.615384615384615,May
19,anger,Republic of Korea,18,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,2.9752066115702482,May
20,anger,Republic of the Philippines,36,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,5.034965034965035,May
21,anger,Singapore,18,Singapore,SGP,702,Singapore,1.3,,3246.0,13.846153846153845,May
22,anger,South Africa,114,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,13.411764705882353,May
23,anger,Spain,78,Spain,ESP,724,Spain,8.4,Statista,4080.0,9.285714285714285,May
24,anger,Sri Lanka,6,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,12.0,May
25,anger,Sweden,12,Sweden,SWE,752,Sweden,2.0,,1422.0,6.0,May
26,anger,Thailand,12,Thailand,THA,764,Thailand,7.35,Statista,2736.0,1.6326530612244898,May
27,anger,Turkey,12,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,0.8791208791208791,May
28,anger,Uganda,18,Uganda,UGA,800,,,,,,May
29,anger,United Arab Emirates,6,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,1.1516314779270633,May
30,anger,United Kingdom,636,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,35.83098591549296,May
31,anger,United States,1962,United States,USA,840,United States,64.2,Statista,454626.0,30.5607476635514,May
32,boredom,Australia,36,Australia,AUS,36,Australia,5.0,Statista,22578.0,7.2,May
33,boredom,Brazil,6,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.4181184668989547,May
34,boredom,Canada,42,Canada,CAN,124,Canada,8.15,Statista,38382.0,5.153374233128834,May
35,boredom,France,18,France,FRA,250,France,8.9,Statista,3192.0,2.0224719101123596,May
36,boredom,Germany,12,Germany,DEU,276,Germany,6.1,Statista,4140.0,1.9672131147540985,May
37,boredom,Ghana,24,Ghana,GHA,288,Ghana,2.0,,6312.0,12.0,May
38,boredom,India,126,India,IND,356,India,13.15,Statista,90480.0,9.581749049429657,May
39,boredom,Indonesia,6,Indonesia,IDN,360,Indonesia,11.8,,3954.0,0.5084745762711864,May
40,boredom,Ireland,12,Ireland,IRL,372,Ireland,2.5,,12138.0,4.8,May
41,boredom,Italy,6,Italy,ITA,380,Italy,2.5,,3822.0,2.4,May
42,boredom,Kenya,18,Kenya,KEN,404,Kenya,8.2,google,9228.0,2.1951219512195124,May
43,boredom,Malaysia,6,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,1.5384615384615385,May
44,boredom,New Zealand,18,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,20.0,May
45,boredom,Nigeria,144,Nigeria,NGA,566,Nigeria,8.4,,38400.0,17.142857142857142,May
46,boredom,Pakistan,6,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,2.3076923076923075,May
47,boredom,Republic of the Philippines,42,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,5.874125874125874,May
48,boredom,Singapore,6,Singapore,SGP,702,Singapore,1.3,,3246.0,4.615384615384615,May
49,boredom,South Africa,126,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,14.823529411764707,May
50,boredom,Spain,6,Spain,ESP,724,Spain,8.4,Statista,4080.0,0.7142857142857143,May
51,boredom,Thailand,12,Thailand,THA,764,Thailand,7.35,Statista,2736.0,1.6326530612244898,May
52,boredom,Uganda,18,Uganda,UGA,800,,,,,,May
53,boredom,United Arab Emirates,6,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,1.1516314779270633,May
54,boredom,United Kingdom,372,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,20.95774647887324,May
55,boredom,United States,876,United States,USA,840,United States,64.2,Statista,454626.0,13.644859813084112,May
56,depressed,Australia,258,Australia,AUS,36,Australia,5.0,Statista,22578.0,51.6,May
57,depressed,Belgium,12,Belgium,BEL,56,Belgium,1.0,,2268.0,12.0,May
58,depressed,Brazil,30,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,2.0905923344947737,May
59,depressed,Canada,582,Canada,CAN,124,Canada,8.15,Statista,38382.0,71.41104294478528,May
60,depressed,China,18,China,CHN,156,China,2.0,NY Times,7482.0,9.0,May
61,depressed,France,36,France,FRA,250,France,8.9,Statista,3192.0,4.044943820224719,May
62,depressed,Germany,66,Germany,DEU,276,Germany,6.1,Statista,4140.0,10.819672131147541,May
63,depressed,Ghana,42,Ghana,GHA,288,Ghana,2.0,,6312.0,21.0,May
64,depressed,Hong Kong,18,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,12.0,May
65,depressed,India,1800,India,IND,356,India,13.15,Statista,90480.0,136.88212927756655,May
66,depressed,Indonesia,78,Indonesia,IDN,360,Indonesia,11.8,,3954.0,6.610169491525423,May
67,depressed,Ireland,264,Ireland,IRL,372,Ireland,2.5,,12138.0,105.6,May
68,depressed,Italy,42,Italy,ITA,380,Italy,2.5,,3822.0,16.8,May
69,depressed,Japan,42,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.8668730650154798,May
70,depressed,Kenya,132,Kenya,KEN,404,Kenya,8.2,google,9228.0,16.097560975609756,May
71,depressed,Kingdom of Saudi Arabia,6,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.4,May
72,depressed,Malaysia,102,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,26.153846153846153,May
73,depressed,Mexico,24,Mexico,MEX,484,Mexico,25.7,,1746.0,0.933852140077821,May
74,depressed,New Zealand,132,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,146.66666666666666,May
75,depressed,Nigeria,480,Nigeria,NGA,566,Nigeria,8.4,,38400.0,57.14285714285714,May
76,depressed,Pakistan,84,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,32.30769230769231,May
77,depressed,Republic of the Philippines,132,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,18.46153846153846,May
78,depressed,Singapore,48,Singapore,SGP,702,Singapore,1.3,,3246.0,36.92307692307692,May
79,depressed,South Africa,366,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,43.05882352941177,May
80,depressed,Spain,84,Spain,ESP,724,Spain,8.4,Statista,4080.0,10.0,May
81,depressed,Sri Lanka,24,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,48.0,May
82,depressed,Sweden,12,Sweden,SWE,752,Sweden,2.0,,1422.0,6.0,May
83,depressed,Switzerland,6,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,7.5,May
84,depressed,Thailand,18,Thailand,THA,764,Thailand,7.35,Statista,2736.0,2.4489795918367347,May
85,depressed,The Netherlands,42,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,15.000000000000002,May
86,depressed,Turkey,18,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,1.3186813186813187,May
87,depressed,Uganda,30,Uganda,UGA,800,,,,,,May
88,depressed,United Arab Emirates,84,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,16.122840690978887,May
89,depressed,United Kingdom,3630,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,204.50704225352112,May
90,depressed,United States,5376,United States,USA,840,United States,64.2,Statista,454626.0,83.73831775700934,May
91,empty,Australia,90,Australia,AUS,36,Australia,5.0,Statista,22578.0,18.0,May
92,empty,Belgium,6,Belgium,BEL,56,Belgium,1.0,,2268.0,6.0,May
93,empty,Brazil,12,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.8362369337979094,May
94,empty,Canada,222,Canada,CAN,124,Canada,8.15,Statista,38382.0,27.23926380368098,May
95,empty,China,6,China,CHN,156,China,2.0,NY Times,7482.0,3.0,May
96,empty,France,18,France,FRA,250,France,8.9,Statista,3192.0,2.0224719101123596,May
97,empty,Germany,6,Germany,DEU,276,Germany,6.1,Statista,4140.0,0.9836065573770493,May
98,empty,Ghana,48,Ghana,GHA,288,Ghana,2.0,,6312.0,24.0,May
99,empty,Hong Kong,18,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,12.0,May
100,empty,India,774,India,IND,356,India,13.15,Statista,90480.0,58.85931558935361,May
101,empty,Indonesia,24,Indonesia,IDN,360,Indonesia,11.8,,3954.0,2.0338983050847457,May
102,empty,Ireland,96,Ireland,IRL,372,Ireland,2.5,,12138.0,38.4,May
103,empty,Japan,6,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.12383900928792568,May
104,empty,Kenya,108,Kenya,KEN,404,Kenya,8.2,google,9228.0,13.170731707317074,May
105,empty,Kingdom of Saudi Arabia,12,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.8,May
106,empty,Malaysia,60,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,15.384615384615385,May
107,empty,Mexico,12,Mexico,MEX,484,Mexico,25.7,,1746.0,0.4669260700389105,May
108,empty,New Zealand,42,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,46.666666666666664,May
109,empty,Nigeria,366,Nigeria,NGA,566,Nigeria,8.4,,38400.0,43.57142857142857,May
110,empty,Pakistan,60,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,23.076923076923077,May
111,empty,Republic of Korea,6,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,0.9917355371900827,May
112,empty,Republic of the Philippines,30,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,4.195804195804196,May
113,empty,Singapore,18,Singapore,SGP,702,Singapore,1.3,,3246.0,13.846153846153845,May
114,empty,South Africa,282,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,33.1764705882353,May
115,empty,Spain,60,Spain,ESP,724,Spain,8.4,Statista,4080.0,7.142857142857142,May
116,empty,Sri Lanka,6,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,12.0,May
117,empty,Switzerland,18,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,22.5,May
118,empty,Thailand,36,Thailand,THA,764,Thailand,7.35,Statista,2736.0,4.8979591836734695,May
119,empty,The Netherlands,24,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,8.571428571428571,May
120,empty,Turkey,6,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,0.43956043956043955,May
121,empty,Uganda,48,Uganda,UGA,800,,,,,,May
122,empty,United Arab Emirates,36,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,6.90978886756238,May
123,empty,United Kingdom,1242,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,69.97183098591549,May
124,empty,United States,3042,United States,USA,840,United States,64.2,Statista,454626.0,47.38317757009346,May
125,enthusiasm,Australia,102,Australia,AUS,36,Australia,5.0,Statista,22578.0,20.4,May
126,enthusiasm,Belgium,24,Belgium,BEL,56,Belgium,1.0,,2268.0,24.0,May
127,enthusiasm,Brazil,12,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.8362369337979094,May
128,enthusiasm,Canada,414,Canada,CAN,124,Canada,8.15,Statista,38382.0,50.79754601226993,May
129,enthusiasm,China,18,China,CHN,156,China,2.0,NY Times,7482.0,9.0,May
130,enthusiasm,France,18,France,FRA,250,France,8.9,Statista,3192.0,2.0224719101123596,May
131,enthusiasm,Germany,18,Germany,DEU,276,Germany,6.1,Statista,4140.0,2.9508196721311477,May
132,enthusiasm,Ghana,24,Ghana,GHA,288,Ghana,2.0,,6312.0,12.0,May
133,enthusiasm,India,1818,India,IND,356,India,13.15,Statista,90480.0,138.2509505703422,May
134,enthusiasm,Indonesia,48,Indonesia,IDN,360,Indonesia,11.8,,3954.0,4.067796610169491,May
135,enthusiasm,Ireland,78,Ireland,IRL,372,Ireland,2.5,,12138.0,31.2,May
136,enthusiasm,Italy,30,Italy,ITA,380,Italy,2.5,,3822.0,12.0,May
